ID,loc,title,bedroom,bathroom,parking_space,price
3583,Katsina,Semi-detached duplex,2.0,2.0,1.0,1149999.565
2748,Ondo,Apartment,4.0,2.0,4.0,1672416.689
2224,Anambra,Detached duplex,5.0,2.0,4.0,2410306.756
10300,Kogi,Terrace duplex,4.0,5.0,6.0,2600700.898
1733,Borno,Mansion,4.0,1.0,3.0,1341750.867
7892,Kwara,Bungalow,4.0,4.0,4.0,2125789.778
3003,Katsina,Penthouse,3.0,3.0,5.0,2043107.592
555,Osun,Semi-detached duplex,4.0,1.0,2.0,1219453.877
3085,Kaduna,Penthouse,4.0,3.0,3.0,2710664.872
12573,Ogun,Bungalow,1.0,2.0,6.0,1330213.036
2624,Bayelsa,Apartment,3.0,4.0,2.0,1891772.069
42,Borno,Terrace duplex,4.0,2.0,3.0,1492509.365
3897,Abia,Terrace duplex,3.0,3.0,3.0,1293794.285
6184,Rivers,Townhouse,2.0,2.0,2.0,2028777.004
2524,Taraba,Terrace duplex,1.0,3.0,4.0,1065123.44
2599,Ebonyi,Apartment,5.0,2.0,1.0,1272895.726
11939,Kaduna,Flat,4.0,7.0,2.0,1790256.208
3424,Kebbi,Townhouse,4.0,2.0,2.0,2355727.905
2223,Osun,Mansion,2.0,1.0,3.0,4163334.857
1378,Enugu,Apartment,1.0,1.0,4.0,1125336.334
10758,Edo,Flat,6.0,7.0,6.0,2446005.185
425,Nasarawa,Townhouse,5.0,2.0,3.0,2234301.476
1787,Kwara,Flat,5.0,2.0,1.0,1492238.896
2825,Kano,Penthouse,1.0,1.0,1.0,1664232.445
404,Kano,Terrace duplex,5.0,5.0,5.0,2147791.41
12131,Osun,Penthouse,6.0,2.0,2.0,3114886.77
11051,Delta,Terrace duplex,9.0,3.0,1.0,3500004.19
8297,Osun,Semi-detached duplex,3.0,7.0,3.0,1751635.699
5890,Yobe,Semi-detached duplex,9.0,3.0,3.0,2507303.272
11872,Edo,Mansion,5.0,6.0,3.0,4596234.296
8642,Abia,Apartment,6.0,1.0,3.0,1518329.108
7325,Katsina,Mansion,4.0,2.0,4.0,2444849.231
1000,Edo,Townhouse,4.0,1.0,1.0,1918782.352
2996,Ebonyi,Flat,4.0,2.0,1.0,1167521.163
5733,Delta,Mansion,3.0,6.0,1.0,4223442.423
5947,Benue,Bungalow,7.0,4.0,6.0,2167431.017
