,ID,loc,title,bedroom,bathroom,parking_space,price,region,log_price,sqrt_price,bath_to_bed_ratio
0,3583,Katsina,Semi-detached duplex,2.0,2.0,1.0,1149999.565,North West,13.955272122078492,1072.3803266565458,1.0
1,2748,Ondo,Apartment,4.0,2.0,4.0,1672416.689,South West,14.329780257486748,1293.2195053431572,0.5
3,2224,Anambra,Detached duplex,5.0,2.0,4.0,2410306.756,South East,14.695264582014138,1552.5162659373332,0.4
4,10300,Kogi,Terrace duplex,4.0,5.0,6.0,2600700.898,North Central,14.771291542816433,1612.6688742578249,1.25
5,1733,Borno,Mansion,4.0,1.0,3.0,1341750.867,North East,14.109485936209913,1158.3397027642625,0.25
6,7892,Kwara,Bungalow,4.0,4.0,4.0,2125789.778,North Central,14.56965395152739,1458.008840165244,1.0
7,3003,Katsina,Penthouse,3.0,3.0,5.0,2043107.592,North West,14.529982536142883,1429.3731465226285,1.0
8,555,Osun,Semi-detached duplex,4.0,1.0,2.0,1219453.877,South West,14.013913674684659,1104.2888557800445,0.25
9,3085,Kaduna,Penthouse,4.0,3.0,3.0,2710664.872,North West,14.812704502986294,1646.4096914194838,0.75
10,12573,Ogun,Bungalow,1.0,2.0,6.0,1330213.036,South West,14.10084966481451,1153.3486185884994,2.0
11,2624,Bayelsa,Apartment,3.0,4.0,2.0,1891772.069,South South,14.453024550406523,1375.4170527516371,1.333
13,42,Borno,Terrace duplex,4.0,2.0,3.0,1492509.365,North East,14.215969398936076,1221.6830051203954,0.5
14,3897,Abia,Terrace duplex,3.0,3.0,3.0,1293794.285,South East,14.073089765361676,1137.4507835506554,1.0
15,6184,Rivers,Townhouse,2.0,2.0,2.0,2028777.004,South South,14.522943708381625,1424.3514327580817,1.0
17,2524,Taraba,Terrace duplex,1.0,3.0,4.0,1065123.44,North East,13.878601256512356,1032.0481771700388,3.0
18,2599,Ebonyi,Apartment,5.0,2.0,1.0,1272895.726,South East,14.056804962165717,1128.2268060988447,0.4
20,11939,Kaduna,Flat,4.0,7.0,2.0,1790256.208,North West,14.397869300535287,1338.0045620251076,1.75
21,3424,Kebbi,Townhouse,4.0,2.0,2.0,2355727.905,North West,14.672360326846412,1534.8380712635453,0.5
